steamId,name,premier_rating,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198365913829,6mg Peppermint Zyn,10018,13,10,1.3,-0.0235,941,15,58.7064,52.7903,37.7357,0.1428,-0.0065,0.0192,-0.0047,36.8276,22.871,75.6225,38.0988,54.4628,2.1945,0.4667,0.4046,5.5572,3.7686,7.4009,1.1083,8.6534,783.1488,30.7691,42.0825,44.5201,42.7473,0.2791,42.9116,304.9355
76561198165939561,ImCruise,10374,17,7,2.43,0.0534,1369,16,51.9939,33.7243,54.4259,0.0553,-0.0318,-0.0308,-0.041,32.2063,12.1369,75.8697,16.3622,29.228,2.1956,0.4565,0.2587,4.4342,4.6346,11.1844,0.2971,9.8556,640.9543,37.1497,27.27,30.4235,56.1725,0.2451,37.2159,287.7471
76561199241301490,< blank >,10983,20,17,1.18,0.0525,1792,20,61.7911,48.8033,49.8143,0.152,-0.0125,0.0313,-0.0141,35.3877,17.8732,83.2986,33.5948,41.3889,2.6806,0.6985,0.4724,6.6351,5.3889,6.6227,1.0076,12.6715,675.4493,38.1856,20.3157,23.9106,54.7868,0.3478,49.2549,306.5784
76561198142939004,Bruno,10461,29,9,3.22,0.1577,2476,20,80.2338,55.1717,24.8937,0.1274,0.002,0.0209,0.002,38.219,20.0423,77.0674,42.4433,51.7402,1.4277,0.3303,0.7577,2.9689,2.4568,8.3273,0.989,9.3253,608.9757,41.5779,31.032,35.1293,48.3132,0.313,50.8982,223.4704
76561198264390108,kev,10469,23,20,1.15,-0.002,2562,29,70.1944,58.7064,61.0181,0.1393,0.0209,0.0243,0.0174,34.5598,20.6658,83.3261,47.6441,56.9218,2.8201,0.6358,0.3665,3.3589,7.6062,11.4585,0.6334,10.3034,676.4412,36.7527,41.3726,53.4972,48.4796,0.2561,43.401,204.6127
76561198369062752,Saint ( -_•),11605,13,17,0.76,-0.0259,1345,19,57.926,51.1967,71.0431,0.1484,-0.0227,-0.0075,0.0052,33.3346,23.9641,78.2735,42.3186,47.449,3.0286,0.7634,0.3594,8.3761,17.0974,8.0737,0.5443,9.5131,760.6591,32.1912,26.8694,32.3476,51.3747,0.2886,50.1243,354.0435
76561198150264906,Ollektepaza,11429,18,19,0.95,0.0166,1866,29,37.8281,44.0382,59.5394,0.1037,-0.0297,-0.0112,-0.0355,27.8522,16.1365,82.0342,32.6367,37.3662,2.8898,0.5887,0.4565,8.368,10.6254,5.8325,0.4799,11.1454,732.6849,30.3739,32.074,37.5402,54.7193,0.2849,34.0743,289.4164
76561198937076369,Big Steppa,11589,16,17,0.94,0.0134,1754,21,67.3645,54.3795,43.4127,0.1321,-0.0131,0.0154,-0.0107,32.626,17.5369,82.6662,34.7605,42.3885,2.1762,0.4092,0.4194,4.8899,6.5692,7.2516,0.058,10.1698,619.2385,35.5154,35.2656,39.8684,54.7509,0.3548,39.2228,274.6631
76561198161904715,LoafnJD,10094,22,14,1.57,0.0479,2057,22,44.0382,53.5856,55.3311,0.1076,-0.0018,0.0011,0.0155,28.4032,23.8641,73.37,39.7281,51.9567,2.8796,0.671,0.4061,11.8774,8.81,7.0528,0.229,11.1087,692.405,29.3592,35.5038,44.4863,45.2397,0.2841,46.8607,419.3069
76561198046087380,Topher,11817,15,15,1.0,0.0302,1667,23,30.1532,46.8119,58.5625,0.09,-0.0167,-0.008,-0.0172,28.7706,12.0069,71.1841,37.8294,46.4965,2.6725,0.5445,0.3475,4.855,11.0258,6.9414,0.1515,11.1398,646.8242,29.0248,28.4084,32.1723,57.0121,0.3009,32.674,364.5823
