steamId,name,target_rating_system,target_rating,premier_rating,faceit_level,faceit_elo,leetify_rank,wingman_rank,renown_rank,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198124707333,Johnny219,faceit,10,,10,2811.0,0.1,16.0,,15,11,1.36,0.0165,1710,18,72.5747,44.433,60.3384,0.0836,-0.0024,0.0014,0.0006,32.8232,23.3557,80.6548,32.8846,47.9689,2.9328,0.542,0.4657,7.4393,14.2801,9.4423,0.9353,10.839,612.3856,36.4283,17.9151,25.5863,55.3812,0.2863,45.7857,314.8211
76561198132992690,matey,faceit,10,24447.0,10,2408.0,0.77,15.0,,7,16,0.44,-0.0484,1051,18,91.4656,55.1717,49.6012,0.1102,0.0039,0.0113,0.0039,39.6048,21.8342,85.0363,33.5969,47.059,2.293,0.4069,0.4232,6.0832,4.6486,7.5603,0.0983,9.6769,551.7466,44.4123,43.9796,50.1259,53.5669,0.2495,48.159,386.3167
76561198004344219,boral,faceit,10,26681.0,10,2259.0,3.09,18.0,,17,11,1.55,0.0332,1890,18,92.9219,72.5747,62.6378,0.0875,0.0451,0.0234,0.0383,36.0612,31.635,85.9878,59.5242,73.3703,3.0386,0.6619,0.3586,7.8922,10.3582,8.8582,1.1404,8.3094,571.4453,35.3008,44.552,50.9156,49.157,0.3663,41.7574,292.0602
76561198835276172,Jake_,faceit,10,28545.0,10,2423.0,1.6099999999999999,,,15,14,1.07,0.0405,1393,18,84.1345,60.2568,65.5967,0.1056,0.017,0.024,0.0088,34.9275,22.5719,82.7111,32.3617,51.8964,2.8517,0.7365,0.281,4.3873,10.9606,7.4959,0.1373,9.6351,584.4466,41.8315,47.2196,52.4767,48.0662,0.3272,45.8139,227.0575
76561199154482468,sK1PP-,faceit,10,26265.0,10,2096.0,3.9,13.0,,7,16,0.44,-0.025,1000,18,94.062,65.1732,68.2592,0.1367,0.0425,0.0378,0.0403,42.1997,25.2007,86.4309,60.9151,66.8616,3.0909,0.5749,0.4222,6.8564,12.2814,11.1604,0.3952,9.479,598.33,45.8455,35.0808,46.4715,40.7194,0.3087,52.4838,323.5729
76561198834278493,d1nk_,faceit,10,22636.0,10,2301.0,1.53,18.0,,20,10,2.0,0.0283,2096,18,95.0529,61.7911,52.811,0.1016,-0.0035,0.033,-0.0002,37.7859,27.0352,91.8586,38.569,54.6766,2.7689,0.6869,0.5113,4.6313,14.9246,3.1291,0.1022,8.4329,580.8338,42.4817,39.0588,41.3665,48.6924,0.3312,56.2961,305.2308
76561197972454353,Aim-_,faceit,10,,10,2362.0,1.68,16.0,,23,12,1.92,0.0881,2620,21,79.9546,50.7978,64.0604,0.0972,-0.0103,0.0295,0.0035,35.4281,23.3632,81.5146,40.8006,45.7573,2.6561,0.6287,0.6479,10.4288,10.6846,11.6487,0.4765,10.9544,574.7598,37.3301,31.1491,42.4999,54.8643,0.2717,40.0313,350.299
76561197984197334,-syN-_-,faceit,10,,10,2716.0,0.91,,,27,10,2.7,0.1527,2488,21,86.65,53.5856,69.297,0.1894,0.0032,0.0149,0.0032,36.9742,22.8611,85.626,31.409,47.7911,3.0201,0.7704,0.515,8.0717,12.0992,10.4639,0.228,9.808,575.0822,38.4056,36.8734,41.5865,43.819,0.3275,49.7101,269.6171
76561197961435980,LaiNN-,faceit,10,28310.0,10,2036.0,-1.08,16.0,,13,14,0.93,-0.0516,1218,21,75.8036,58.7064,66.1162,0.0891,-0.0023,-0.0179,-0.0029,32.0238,22.2738,81.4381,40.9213,45.6525,2.7585,0.6445,0.654,8.335,10.8388,12.9495,0.1894,9.254,582.5444,34.2976,29.2321,33.8376,54.3412,0.3563,53.793,327.0773
76561198279387328,Nolboi,faceit,10,24999.0,10,1989.0,-0.48,15.0,,9,18,0.5,-0.0622,1192,21,82.8944,51.1967,65.4325,0.104,-0.0296,-0.0034,-0.0062,32.4442,20.275,87.4732,36.2985,37.6544,2.9411,0.5943,0.4356,6.2319,16.1845,7.815,0.4517,8.1264,567.5274,34.6809,29.6946,31.392,60.709,0.3228,43.2297,234.2149
76561198078734874,Guarisco,faceit,10,25397.0,10,2058.0,0.12,16.0,,16,17,0.94,-0.0127,1611,21,69.8468,53.1881,66.1523,0.1164,0.0206,-0.0011,0.0032,33.5809,16.3738,78.8545,32.7805,39.2048,2.8685,0.5181,0.4512,5.6968,11.3381,10.3812,0.389,9.0592,606.5908,38.112,38.5256,47.7197,57.3858,0.2963,41.1862,248.139
76561199142428400,release-_,faceit,10,23443.0,10,2021.0,-0.06,14.0,,10,16,0.63,-0.0659,1228,20,77.935,49.2022,52.3884,0.1105,-0.0104,0.0044,-0.006,34.8309,24.7526,84.642,24.05,31.1548,2.8677,0.5052,0.4984,3.2207,10.4924,5.0166,0.4686,9.9188,635.8769,32.5665,38.192,47.4572,57.5129,0.2899,43.626,141.1505
76561198983763910,E85,faceit,10,30000.0,10,2291.0,3.32,,,16,15,1.07,-0.0441,1804,20,91.7736,61.0261,66.4174,0.1224,0.0389,0.0347,0.0315,40.4974,21.4148,85.8681,40.5532,52.2024,2.6958,0.7161,0.4269,6.2163,11.4725,9.2439,0.1625,9.1368,574.2013,43.9786,35.1055,44.6615,58.161,0.3234,46.1431,299.1198
76561198452804081,Sykkuno-Koji,faceit,10,,10,3867.0,0.33,,,15,18,0.83,-0.0287,1850,24,88.493,57.5345,70.1139,0.125,-0.0349,-0.0025,0.0099,37.1693,24.1427,83.8905,31.9602,48.5699,2.9059,0.6824,0.367,9.4097,12.4521,7.8735,0.6065,9.6219,545.7519,37.7762,38.0266,40.8805,58.9117,0.3248,44.7686,222.4384
76561198185557374,Fireboy,faceit,10,27423.0,10,2334.0,1.1199999999999999,16.0,,8,18,0.44,-0.0715,1076,24,92.073,53.1881,66.2236,0.1318,-0.0105,0.0199,0.003,41.2617,21.6578,85.0039,44.76,47.96,2.5893,0.6889,0.3928,8.5529,6.7584,13.6207,0.4228,9.4016,566.3104,43.9098,22.264,26.264,46.6741,0.3448,54.6212,416.36
76561198139913271,LMS,faceit,10,23521.0,10,3306.0,3.34,15.0,,15,21,0.71,-0.0055,1849,24,76.4238,70.1944,74.0463,0.13,0.0298,0.0267,0.0402,33.8113,23.2958,78.0162,49.6489,67.3285,3.1663,0.6802,0.5279,10.3465,18.8254,8.5559,0.8117,10.049,577.9351,36.4003,46.6615,53.3334,52.7506,0.3196,47.7019,179.3276
76561198882773852,Zhenn,faceit,10,,10,2330.0,-0.38,,,18,17,1.06,0.0192,1938,24,87.0762,52.3922,60.8418,0.074,-0.0107,-0.0128,0.0053,38.7997,19.5397,80.7226,30.7012,38.3011,2.6357,0.6198,0.44,5.2976,14.48,10.1792,0.7471,9.2029,527.2288,39.6333,30.6426,34.5996,59.2951,0.3334,47.323,265.216
76561198851331677,Lyrne,faceit,10,,10,2397.0,2.1399999999999997,17.0,,13,17,0.76,-0.0265,1550,24,65.5422,49.6011,69.4904,0.1397,0.0173,0.0312,0.013,33.0467,21.9126,72.416,33.1119,45.1436,2.8584,0.6275,0.4108,6.0039,18.2,7.0338,0.5098,10.1768,591.4859,34.4888,23.7283,40.7211,51.2331,0.3303,42.3223,151.4141
76561198258800768,consti,faceit,10,26601.0,10,3664.0,1.79,16.0,,17,19,0.89,0.0146,1753,24,88.8767,72.5747,69.732,0.1066,0.0825,0.023,0.0123,38.9318,23.0466,78.5416,53.5665,63.1688,2.8125,0.6793,0.5341,16.0843,11.6814,9.2326,0.828,8.5119,577.0239,43.5742,37.3083,41.3969,58.6839,0.4289,42.9533,274.4583
76561198074346701,arush,faceit,10,28062.0,10,3310.0,1.82,17.0,,5,13,0.38,-0.0966,595,13,92.073,62.5516,53.8629,0.2004,0.0114,0.0131,0.0247,40.8999,26.855,83.7358,48.5428,56.1431,2.8459,0.5321,0.5392,5.1194,9.1424,7.7671,0.749,9.2232,622.5997,43.8944,44.8917,53.3505,51.549,0.2514,50.1687,386.1206
76561199414193693,tigerhoods,faceit,10,29044.0,10,2638.0,-0.22999999999999998,,,20,17,1.18,-0.026,2098,24,77.035,50.3989,58.9954,0.0792,0.0014,0.0081,-0.0125,39.4848,16.4721,80.7628,41.1324,55.5489,2.6791,0.5639,0.4641,6.4648,9.9426,10.3726,0.6533,13.1039,569.6985,44.5586,26.3532,32.3375,51.3857,0.2711,46.8793,354.2647
76561198054870849,autimatic,faceit,10,,10,,2.36,,,17,16,1.06,0.0322,1790,24,86.65,65.1732,64.2178,0.1484,0.0249,0.0035,0.0435,35.8705,22.9692,82.1824,44.0799,54.908,2.8356,0.5442,0.4913,9.1167,11.5804,9.3694,0.8871,9.1848,541.8975,38.2037,39.9005,47.7733,54.8688,0.3656,43.6125,264.3391
76561199117025273,danzinn-,faceit,10,28170.0,10,3169.0,2.48,15.0,,17,9,1.89,0.0449,1769,17,85.3141,59.8706,58.5794,0.096,0.0273,0.0231,0.0267,37.4742,22.3243,83.5951,42.9399,55.9777,2.6685,0.5616,0.3964,8.2707,8.6843,8.1469,0.2195,8.5225,609.9642,37.5941,34.8679,45.6198,45.3467,0.3018,56.0018,286.2364
76561198128135979,luhgeek,faceit,10,24778.0,10,3222.0,1.09,,,14,13,1.08,0.0779,1319,17,83.8913,43.6441,56.547,0.1042,-0.0046,0.0211,0.0011,37.8148,20.3766,79.8908,27.8326,41.0734,2.7704,0.5952,0.5551,6.7218,8.0401,9.5251,0.4842,8.3983,591.4535,39.5212,20.6605,32.4096,45.8166,0.3075,50.1627,243.2375
